GitHub URL,Name/Repo,About,Where it Fits,Connectors,Languages
https://github.com/run-llama/semtools,run-llama/semtools,,Local LLM runtime,,
https://github.com/rusqlite/rusqlite,rusqlite/rusqlite,,DB/Storage client,,
https://github.com/rust-lang/rustfmt,rust-lang/rustfmt,,,,Rust
https://github.com/rust-postgres/rust-postgres,rust-postgres/rust-postgres,,DB/Storage client,,Rust
https://github.com/ruvnet/claude-flow,ruvnet/claude-flow,,,,
https://github.com/Significant-Gravitas/AutoGPT,Significant-Gravitas/AutoGPT,,Agent framework/agent ops,,
https://github.com/sigoden/aichat,sigoden/aichat,,,,
https://github.com/simular-ai/Agent-S,simular-ai/Agent-S,,Agent framework/agent ops,,
https://github.com/smol-rs/smol,smol-rs/smol,,,,Rust
https://github.com/supabase/supabase,supabase/supabase,,,,
https://github.com/superagent-ai/grok-cli,superagent-ai/grok-cli,,Agent framework/agent ops,,
https://github.com/superagent-ai/reag,superagent-ai/reag,,Agent framework/agent ops,,
https://github.com/superagent-ai/superagent,superagent-ai/superagent,,Agent framework/agent ops,,
https://github.com/superdesigndev/superdesign,superdesigndev/superdesign,,,,
https://github.com/swc-project/plugins,swc-project/plugins,,,,
https://github.com/swc-project/swc,swc-project/swc,,,,
https://github.com/swc-project/swc-sourcemap,swc-project/swc-sourcemap,,,,
https://github.com/szr2001/WorkLifeBalance,szr2001/WorkLifeBalance,,,,
https://github.com/tauri-apps/tauri,tauri-apps/tauri,,Tauri/Dioxus examples (from search): Tauri-based ChatGPT apps and Dioxus UIs for Rust give you native cross‑platform shells; pair with Rig + llama.cpp for an all‑Rust stack.,,
https://github.com/tdunning/t-digest,tdunning/t-digest,,,,
https://github.com/tfeldmann/organize,tfeldmann/organize,,,,
https://github.com/TheSethRose/AI-File-Organizer-Agent,TheSethRose/AI-File-Organizer-Agent,,Agent framework/agent ops,,
https://github.com/THUDM/slime,THUDM/slime,,,,
https://github.com/tokio-rs/mio,tokio-rs/mio,"fast, low-level I/O library for Rust focusing on non-blocking APIs and event notification for building high performance I/O apps with as little overhead as possible over the OS abstractions.",,Rust,
https://github.com/topics/theresanaiforthat,topics/theresanaiforthat,,,,
https://github.com/tracel-ai/burn,tracel-ai/burn,,,,
https://github.com/tryretool/retool-onpremise,tryretool/retool-onpremise,,,,
https://github.com/tryretool/retool-onpremise,tryretool/retool-onpremise,,,,
https://github.com/unbody-io/unbody,unbody-io/unbody,,,,
https://github.com/unclecode/crawl4ai,unclecode/crawl4ai,,,,
https://github.com/usememos/memos,usememos/memos,,,,
https://github.com/VishalTheHuman/TaxEase.AI-Vertex-AI-Agent,VishalTheHuman/TaxEase.AI-Vertex-AI-Agent,,Agent framework/agent ops,,
https://github.com/VoltAgent/voltagent,VoltAgent/voltagent,,Agent framework/agent ops,,
https://github.com/x1xhlol/system-prompts-and-models-of-ai-tools,x1xhlol/system-prompts-and-models-of-ai-tools,,,,TypeScript/JavaScript
https://github.com/xataio/agent,xataio/agent,,Agent framework/agent ops,,
https://github.com/XiangpengHao/liquid-cache,XiangpengHao/liquid-cache,,UI (Web/Desktop),,
https://github.com/xorq-labs/xorq/,xorq-labs/xorq/,,,,
https://github.com/X-PLUG/MobileAgent,X-PLUG/MobileAgent,,Agent framework/agent ops,,
https://github.com/yuruotong1/autoMate,yuruotong1/autoMate,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
